rows,oid,ogroup_id,oplan_title,oprice,oabsence,osertification,omark,omin,omax,otime,obranch,group,grade,course,price,title
389,417,9,احکام از ابتدای رساله مبحث دماء ثلاثه,200000,3,no,14,1,100,12,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام دماء ثلاثه
397,425,9,احکام از ابتدای رساله مبحث نماز,200000,3,no,14,1,100,12,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام نماز
273,301,9,احکام ازابتدای رساله,200000,4,no,21,15,100,NULL,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام از ابتدای رساله
4,197,9,احکام بانوان,200000,5,yes,14,15,75,12,9,معارف قرآن و حدیث,نوجوان,احکام,20000,احکام بانوان
169,197,9,احکام بانوان,200000,5,yes,14,15,75,12,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام بانوان
170,198,9,احکام خمس,200000,5,yes,14,15,75,NULL,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام خمس
151,178,6,احکام عمومی,0,10,yes,15,1,999,15,3,معارف قرآن و حدیث,جوان,احکام,0,احکام عمومی
222,250,30,احکام قرآنی,0,0,no,15,10,30,NULL,2,معارف قرآن و حدیث,جوان,احکام,0,احکام قرآنی
26,51,27,احکام,150000,2,yes,14,25,70,NULL,2,معارف قرآن و حدیث,جوان,احکام,15000,احکام کاربردی
36,61,27,احکام نوجوانان,150000,2,yes,14,20,70,NULL,2,معارف قرآن و حدیث,جوان,احکام,15000,احکام نوجوانان
171,199,9,احکام نوجوانان,200000,5,yes,14,10,50,NULL,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام نوجوانان
354,382,6,احکام ویژه بانوان,0,10,yes,15,10,2000,15,3,معارف قرآن و حدیث,جوان,احکام,0,احکام ویژه بانوان
195,223,21,عبادات,100000,9,yes,14,20,50,NULL,10,معارف قرآن و حدیث,جوان,احکام,10000,عبادات
14,445,9,احکام کوتاه مدت مبحث مبطلات روزه,200000,3,no,21,2,100,12,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام کوتاه مدت مبحث مبطلات روزه
15,451,9,احکام کوتاه مدت مباحث تقلید، طهارت نماز، وضو، غسل، دماء الثلاثه,200000,3,no,21,14,60,12,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام کوتاه مدت مباحث تقلید، طهارت نماز، وضو، غسل، دماء الثلاثه
16,452,9,احکام کوتاه مدت مباحث تیمم، نجاسات، مطهرات، وقت نماز، قبله، مکان نماز گزار، واجبات نماز,200000,3,no,14,10,50,12,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام کوتاه مدت مباحث تیمم، نجاسات، مطهرات، وقت نماز، قبله، مکان نماز گزار، واجبات نماز
17,453,9,احکام کوتاه مدت مباحث روزه، اعتکاف، زکات، خمس، حج، امر به معروف و نهی از منکر، جهاد، خرید و فروش، نذر و عهد و قسم، کفارات، خوراکی ها,200000,3,no,14,10,50,12,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام کوتاه مدت مباحث روزه، اعتکاف، زکات، خمس، حج، امر به معروف و نهی از منکر، جهاد، خرید و فروش، نذر و عهد و قسم، کفارات، خوراکی ها
18,454,9,احکام بلند مدت مباحث غسل، تیمم، احکام نجاسات و مطهرات,200000,3,no,14,10,50,12,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام بلند مدت مباحث غسل، تیمم، احکام نجاسات و مطهرات
19,455,9,احکام بلند مدت مباحث مطهرات، وقت نماز، مکان و لباس نماز گزار ، قبله، اذان و اقامه، احکام مسجد,200000,3,no,14,10,50,12,9,معارف قرآن و حدیث,جوان,احکام,20000,احکام بلند مدت مباحث مطهرات، وقت نماز، مکان و لباس نماز گزار ، قبله، اذان و اقامه، احکام مسجد
